GEOID,County,Tract,Total,Hispanic,White,Black,AmerInd,Asian,PacIsl,Other,Multi,White_per,Black_per,Hispanic_per,Asian_per
13121007500,Fulton County,Census Tract 75,3447,190,181,2907,10,54,0,21,84,5.250942848854076,84.33420365535248,5.512039454598201,1.5665796344647518
13121007602,Fulton County,Census Tract 76.02,2309,35,91,2094,11,8,0,5,65,3.9411000433087913,90.68860978778692,1.5158077089649198,0.34647033347769596
13121007603,Fulton County,Census Tract 76.03,3979,89,66,3722,9,6,0,22,65,1.6587082181452626,93.54109072631314,2.2367429002261874,0.15079165619502388
13121007604,Fulton County,Census Tract 76.04,3191,59,28,3037,1,2,1,4,59,0.8774678784080225,95.17392666875587,1.848950172359762,0.06267627702914447
13121007703,Fulton County,Census Tract 77.03,3869,79,41,3620,3,6,0,17,103,1.059705350219695,93.5642284828121,2.0418712845696563,0.15507883173946757
13121007705,Fulton County,Census Tract 77.05,3969,77,36,3754,6,7,1,18,70,0.9070294784580499,94.5830183925422,1.9400352733686066,0.1763668430335097
13121007707,Fulton County,Census Tract 77.07,2225,52,26,2067,10,9,0,10,51,1.1685393258426966,92.89887640449437,2.337078651685393,0.40449438202247195
13121007708,Fulton County,Census Tract 77.08,3283,202,38,2921,0,7,0,27,88,1.1574779165397502,88.97349984770028,6.152908924763936,0.21321961620469082
13121007709,Fulton County,Census Tract 77.09,4211,148,81,3796,0,47,1,15,123,1.9235336024697223,90.14485870339587,3.5146046069817145,1.11612443600095
13121011435,Fulton County,Census Tract 114.35,4271,860,2413,586,10,107,3,69,223,56.497307422149376,13.720440177944276,20.135799578553033,2.50526808709904
13121011436,Fulton County,Census Tract 114.36,3190,212,2454,191,0,153,0,11,169,76.92789968652038,5.987460815047022,6.645768025078371,4.7962382445141065
13121011437,Fulton County,Census Tract 114.37,2911,523,1626,544,0,99,1,14,104,55.857093782205425,18.68773617313638,17.966334592923396,3.400893163861216
13121011438,Fulton County,Census Tract 114.38,4399,1060,2057,790,4,230,1,38,219,46.760627415321665,17.95862696067288,24.096385542168676,5.228461013866788
13121011439,Fulton County,Census Tract 114.39,4138,423,2734,586,0,227,0,14,154,66.07056549057516,14.16143064282262,10.222329627839535,5.485741904301595
13121011440,Fulton County,Census Tract 114.40,2352,146,1610,313,0,177,1,17,88,68.45238095238095,13.3078231292517,6.207482993197279,7.525510204081633
13121011441,Fulton County,Census Tract 114.41,3919,432,2627,403,2,206,1,43,205,67.03240622607808,10.28323551926512,11.02322020923705,5.256442970145446
13121011442,Fulton County,Census Tract 114.42,2344,236,1349,467,8,163,0,19,102,57.55119453924915,19.923208191126278,10.06825938566553,6.953924914675767
13121011443,Fulton County,Census Tract 114.43,3303,138,1813,242,11,1007,8,6,78,54.88949439903118,7.326672721768089,4.178019981834695,30.48743566454738
13121011444,Fulton County,Census Tract 114.44,3756,143,2563,162,3,743,0,17,125,68.23748668796593,4.313099041533546,3.807241746538871,19.78168264110756
13121011445,Fulton County,Census Tract 114.45,3158,179,2623,148,0,67,0,21,120,83.0588980367321,4.686510449651679,5.668144395186827,2.121595946801773
13121011446,Fulton County,Census Tract 114.46,3428,130,2868,172,6,91,0,16,145,83.66394399066512,5.017502917152859,3.7922987164527426,2.6546091015169195
13121011505,Fulton County,Census Tract 115.05,4316,230,3392,267,0,222,1,18,186,78.59128822984245,6.18628359592215,5.329008341056534,5.143651529193698
13121011507,Fulton County,Census Tract 115.07,4947,248,4124,175,5,166,0,22,207,83.36365474024662,3.5374974732160904,5.013139276329088,3.355569031736406
13121011508,Fulton County,Census Tract 115.08,4262,296,3113,245,1,381,6,34,186,73.04082590333178,5.748474894415767,6.9450961989676205,8.939465039887377
13121011509,Fulton County,Census Tract 115.09,2501,159,1961,152,4,108,1,15,101,78.40863654538185,6.0775689724110356,6.357457017193123,4.318272690923631
13121011510,Fulton County,Census Tract 115.10,6164,329,4352,266,0,936,0,17,264,70.60350421804024,4.315379623621025,5.337443218689162,15.18494484101233
13121011511,Fulton County,Census Tract 115.11,2794,182,1874,219,0,399,4,8,108,67.0722977809592,7.838224767358626,6.513958482462419,14.280601288475303
13121011512,Fulton County,Census Tract 115.12,2968,142,2452,105,2,106,0,16,145,82.61455525606469,3.5377358490566038,4.784366576819407,3.571428571428571
